일,서울,경기,총합
2021-09-03,24,29,53
2021-09-04,24,28,52
2021-09-05,25,26,51
2021-09-06,24,26,50
2021-09-07,23,27,50
2021-09-08,20,22,42
2021-09-09,26,28,54
2021-09-10,35,39,74
2021-09-11,23,26,49
2021-09-12,17,19,36
2021-09-13,20,24,44
2021-09-14,21,21,42
2021-09-15,20,22,42
2021-09-16,23,29,52
2021-09-17,33,37,70
2021-09-18,22,24,46
2021-09-19,22,24,46
2021-09-20,15,18,33
2021-09-21,28,31,59
2021-09-22,27,30,57
2021-09-23,22,23,45
2021-09-24,28,35,63
2021-09-25,17,22,39
2021-09-26,15,18,33
2021-09-27,21,22,43
2021-09-28,18,22,40
2021-09-29,12,15,27
2021-09-30,15,20,35
2021-10-01,20,25,45
2021-10-02,15,16,31
2021-10-03,16,19,35
2021-10-04,17,16,33
2021-10-05,19,23,42
2021-10-06,20,22,42
2021-10-07,21,23,44
2021-10-08,24,25,49
2021-10-09,25,28,53
2021-10-10,17,18,35
2021-10-11,21,25,46
2021-10-12,27,33,60
2021-10-13,34,38,72
2021-10-14,27,29,56
2021-10-15,25,27,52
2021-10-16,21,23,44
2021-10-17,29,34,63
2021-10-18,21,25,46
2021-10-19,24,26,50
2021-10-20,28,30,58
2021-10-21,27,30,57
2021-10-22,26,28,54
2021-10-23,20,22,42
2021-10-24,26,31,57
2021-10-25,32,36,68
2021-10-26,24,25,49
2021-10-27,22,24,46
2021-10-28,25,28,53
2021-10-29,25,29,54
2021-10-30,21,23,44
2021-10-31,22,23,45
2021-11-01,23,26,49
2021-11-02,22,25,47
2021-11-03,39,49,88
2021-11-04,21,23,44
2021-11-05,20,23,43
2021-11-06,18,19,37
2021-11-07,17,19,36
2021-11-08,20,23,43
2021-11-09,19,26,45
2021-11-10,21,24,45
2021-11-11,22,30,52
2021-11-12,21,22,43
2021-11-13,17,17,34
2021-11-14,18,18,36
2021-11-15,26,29,55
2021-11-16,27,29,56
2021-11-17,23,22,45
2021-11-18,26,27,53
2021-11-19,23,26,49
2021-11-20,15,17,32
2021-11-21,15,18,33
2021-11-22,26,26,52
2021-11-23,44,47,91
2021-11-24,52,52,104
2021-11-25,100,100,200
2021-11-26,55,61,116
2021-11-27,24,28,52
2021-11-28,19,24,43
2021-11-29,28,31,59
2021-11-30,32,35,67
2021-12-01,22,26,48
2021-12-02,26,27,53
2021-12-03,18,21,39
2021-12-04,22,25,47
2021-12-05,17,19,36
2021-12-06,24,27,51
2021-12-07,25,33,58
2021-12-08,21,22,43
2021-12-09,20,23,43
2021-12-10,24,25,49
2021-12-11,11,13,24
2021-12-12,14,16,30
2021-12-13,19,23,42
2021-12-14,27,30,57
2021-12-15,26,28,54
2021-12-16,21,25,46
2021-12-17,22,28,50
2021-12-18,17,18,35
2021-12-19,20,24,44
2021-12-20,22,22,44
2021-12-21,23,24,47
2021-12-22,20,22,42
2021-12-23,16,21,37
2021-12-24,28,32,60
2021-12-25,21,27,48
2021-12-26,15,19,34
2021-12-27,22,27,49
2021-12-28,19,23,42
2021-12-29,32,37,69
2021-12-30,24,26,50
2021-12-31,21,25,46
